subject,hemi,ROI,fwhm,fwhm_upper,fwhm_lower,fwhm_central5,fwhm_central10,fwhm_contra,fwhm_ipsi,fwhm_upperContra,fwhm_lowerContra,fwhm_upperIpsi,fwhm_lowerIpsi,CoM_x,CoM_y,centerX,centerY,includedvox,totalvox,proportion20
ST25,rh,CoS_places,27.6490886,51.39442231,48.60557769,21.31474104,69.65471448,100,0,51.39442231,48.60557769,0,0,-7.801137924,1.387496233,-7.039694373,0.142934012,873,1074,0.812849162
TH,rh,CoS_places,30.32016277,9.73062122,90.26937878,28.69708631,77.24024189,68.60912589,0,7.641561297,60.9675646,2.089059923,29.30181418,-5.214129925,-5.436468124,-2.256586933,-5.228004273,895,2061,0.436681223
TL24,rh,CoS_places,20.82057981,99.29742389,0.702576112,12.29508197,70.6088993,100,0,99.29742389,0.702576112,0,0,-5.691931248,5.761985779,-6.038698622,4.972302525,63,327,0.201834862
JG24,rh,CoS_places,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KG22,rh,CoS_places,21.00056779,32.26176808,67.73823192,7.807118255,62.91618829,100,0,32.26176808,67.73823192,0,0,-4.299905777,0.868565798,-8.379130218,-1.495524912,156,278,0.564748201
VN26,rh,CoS_places,30.21364646,34.05315615,65.94684385,32.28128461,82.72425249,86.82170543,0,30.45404208,56.36766334,3.599114064,9.579180509,-7.554105282,-1.195405602,-4.68151407,-1.912900162,283,302,0.937086093
DRS22,rh,CoS_places,26.28941786,84.52554745,15.47445255,15.03649635,62.18978102,100,0,84.52554745,15.47445255,0,0,-8.858031273,9.641420364,-7.007322957,3.792308915,139,354,0.412429379
MBA24,rh,CoS_places,26.81254631,36.70175439,63.29824561,17.75438596,65.47368421,100,0,36.70175439,63.29824561,0,0,-8.76014328,-0.35413447,-7.434760267,-1.399876418,80,86,0.930232558
DF,rh,CoS_places,27.77193645,63.93442623,36.06557377,25.7704918,75.86885246,97.57377049,0,61.96721311,35.60655738,1.967213115,0.459016393,-8.487321854,-0.902664959,-6.119153724,1.539504246,241,303,0.808580858
ENK05/ENK05_190317_19993_time_03_1,lh,pFus_faces,11.74948893,93.45454545,6.545454545,25.45454545,100,100,0,93.45454545,6.545454545,0,0,5.190170765,2.498403072,5.501978717,2.271711215,17,21,0.80952381
CLC06/CLC06_190912_21275_time_04_1,lh,pFus_faces,9.859082127,52.84974093,47.15025907,66.83937824,100,100,0,52.84974093,47.15025907,0,0,3.867347479,-0.330167353,4.145807469,0.078324128,12,33,0.363636364
ED07/ED07_190914_21286_time_04_1,lh,pFus_faces,27.85739307,59.63541667,40.36458333,23.30729167,72.20052083,99.28385417,0,59.04947917,40.234375,0.5859375,0.130208333,7.192363262,0.046209939,6.615840317,1.061741765,345,359,0.961002786
ENK05/ENK05_191208_21930_time_04_1,lh,pFus_faces,30.23633851,59.51192457,40.48807543,23.90460344,69.88352745,96.94952856,0,57.40432612,39.54520244,2.107598447,0.942872989,10.64767075,1.465358377,6.474614728,1.132271592,157,175,0.897142857
INW06/INW06_191103_21656_time_04_1,lh,pFus_faces,13.67063805,0.810810811,99.18918919,5.945945946,89.72972973,100,0,0.810810811,99.18918919,0,0,6.740087986,-2.875118017,6.830953437,-3.222533645,30,30,1
RJ09/RJ09_190914_21289_time_04_1,lh,pFus_faces,25.43158913,45.9375,54.0625,20.078125,71.5625,100,0,45.9375,54.0625,0,0,6.707399845,0.305440813,7.123323154,-0.40981426,26,26,1
AOK07/AOK07_191207_21927_time_04_1,lh,pFus_faces,10.86925141,96.98275862,3.017241379,8.620689655,100,100,0,96.98275862,3.017241379,0,0,6.841543198,1.369751453,6.485955161,2.265252288,88,88,1
