sub,ROI,hemi,CenterXs,CenterYs,FWHMs,FWHM_radius,size
OS12/OS12_190725_20947_time_06_1,PHC,rh,-9.410268493,1.16009317,9.993418572,4.996709286,13.07809
OS12/OS12_190725_20947_time_06_1,pFus_faces,rh,-2.859389192,-1.271098199,16.02898067,8.014490336,13.33022
OS12/OS12_190725_20947_time_06_1,CoS_places,rh,-10.29461124,2.861626341,10.98690269,5.493451344,15.34541
OS12/OS12_190725_20947_time_06_1,mFus_faces,rh,2.644285882,-4.250910449,2.281558096,1.140779048,12.83484
OS12/OS12_190725_20947_time_06_1,OTS_bodies,rh,-3.276861857,-11.06650141,13.69685224,6.848426121,86.06814
CR24,V1,rh,-3.928859241,-0.052457368,17.58144161,8.790720805,3.76543
CR24,V2,rh,-5.065913398,-1.056423353,17.26960854,8.63480427,4.235474
CR24,V3,rh,-4.426497718,-0.436864373,15.68749855,7.843749274,4.941521
CR24,hV4,rh,-4.896268068,2.654604598,7.441829985,3.720914993,5.219451
CR24,VO,rh,-8.993959905,2.771632138,10.88149289,5.440746447,10.04563
CR24,PHC,rh,-8.034855483,4.002439411,9.468046288,4.734023144,10.10106
CR24,pFus_faces,rh,-3.647458793,-1.459172018,10.81991499,5.409957495,10.69428
CR24,pOTS_words,rh,-5.942717758,-2.716386438,10.80204571,5.401022853,13.21722
CR24,CoS_places,rh,-7.411966253,2.781325985,8.245350227,4.122675114,10.07766
CR24,mFus_faces,rh,-2.013499419,-0.197713623,7.451510472,3.725755236,9.064689
CR24,OTS_bodies,rh,-4.569929561,-4.222219348,3.921667464,1.960833732,12.29785
CS22,V1,rh,-4.694258046,-0.798534618,17.1156229,8.557811449,3.894315
CS22,V2,rh,-5.768760308,-0.583122478,13.9772578,6.988628901,3.558132
CS22,V3,rh,-6.533243865,-0.020333376,12.71572185,6.357860924,4.85536
CS22,hV4,rh,-4.842561866,-2.36681204,8.400680774,4.200340387,5.589066
CS22,VO,rh,-7.721811109,-0.654036751,13.15716253,6.578581264,10.43515
CS22,pFus_faces,rh,-8.355657762,0.527650007,10.39284223,5.196421116,9.951152
CS22,CoS_places,rh,-9.746054942,-3.586525051,8.065459793,4.032729896,10.47034
CS22,mFus_faces,rh,-3.466588098,0.594686456,4.799881612,2.399940806,7.552338
EM,V1,rh,-5.852381614,-0.801555573,16.22120789,8.110603946,3.00116
EM,V2,rh,-6.387189596,0.119534034,14.14178998,7.070894989,3.413377
EM,V3,rh,-6.002217945,0.064323625,14.5029165,7.251458248,5.827331
EM,hV4,rh,-4.592734421,0.72920467,12.41213167,6.206065834,5.865582
EM,VO,rh,-8.579436165,-0.850759024,11.65677101,5.828385506,11.71627
EM,pFus_faces,rh,-5.711725789,-0.728312257,9.188623681,4.594311841,9.508686
EM,CoS_places,rh,-9.571610811,-4.208462545,10.62415301,5.312076506,14.36076
EM,mFus_faces,rh,-1.317609713,-2.298235741,8.548522199,4.2742611,8.000194
EM,OTS_bodies,rh,-1.836344442,-2.936034809,7.493261391,3.746630696,10.50948
ES,V1,rh,-5.772327028,-0.010575521,17.323988,8.661993998,3.123719
ES,V2,rh,-6.474082518,-0.471421981,13.52741608,6.763708042,3.826979
ES,V3,rh,-6.381343852,-0.631306191,14.03107765,7.015538824,5.505814
ES,hV4,rh,-6.218878752,1.881392149,8.865187805,4.432593903,7.350264
ES,VO,rh,-9.736818794,6.068159168,14.65952987,7.329764937,12.38116
ES,pFus_faces,rh,-2.838881304,0.094102329,9.739846405,4.869923203,11.12642
ES,pOTS_words,rh,-5.484460686,-2.949627513,13.82048024,6.910240121,10.77164
ES,CoS_places,rh,-9.564769818,4.976734513,10.38614604,5.193073019,13.16899
ES,mFus_faces,rh,-2.261967551,-1.837601376,4.965096071,2.482548036,6.922836
GB23,V1,rh,-5.187356078,1.270747377,20.41370918,10.20685459,2.534719
GB23,V2,rh,-5.189239019,0.271056038,14.57023379,7.285116895,2.612482
GB23,V3,rh,-5.329421482,-0.834068952,12.82509525,6.412547625,4.514714
GB23,hV4,rh,-5.548856828,0.361296288,9.055474529,4.527737265,6.725581
GB23,VO,rh,-6.946075484,2.984272144,11.16949226,5.58474613,8.10798
GB23,pFus_faces,rh,-3.898646216,0.873820486,5.114048392,2.557024196,7.683522
GB23,pOTS_words,rh,-3.538958113,-0.439748407,5.431540365,2.715770183,7.315392
GB23,CoS_places,rh,-6.523288,2.063320876,8.254809868,4.127404934,8.83946
JEW23,V1,rh,-6.518402894,2.193240056,19.72815508,9.864077538,3.29924
JEW23,V2,rh,-5.76166028,-1.499484958,19.80661386,9.903306932,3.643024
JEW23,V3,rh,-5.448805771,-3.176850141,15.83519051,7.917595254,5.6434
