Session,Hemi,ROI,nrAdultFaces,meanAdultFaces,nrChildFaces,meanChildFaces,nrNoHeadBody,meanNoHeadBody,nrLimbs,meanLimbs,nrCars,meanCars,nrGuitars,meanGuitars,nrCorridors,meanCorridors,nrHouses,meanHouses,nrWords,meanWords,nrNumber,meanNumber,nrFaces,meanFaces,nrBodies,meanBodies,nrObjects,meanObjects,nrPlaces,meanPlaces,nrChars,meanChars
es103118,rh,MOG_places_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1.29851968,7,0.658666912,0,-7.058723276,1,1.071512577,52,3.954512372
jw103018,rh,MOG_places_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.238812273,4,-0.00434965,4,-1.091552256,0,-0.10055536,8,0.937750055
mg_041817,rh,MOG_places_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SP171101,rh,MOG_places_toon_JC_10mm,0,0.152698179,0,-1.81051725,0,-1.147361568,0,1.201227801,0,0.18545111,0,-0.526657241,3,1.569001166,6,1.666711538,0,-0.934801149,0,-0.362179056,0,-1.130408632,0,0.035139476,0,-0.242768336,16,2.175742083,0,-0.90431734
TH181012,rh,MOG_places_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,5.390830339,0,-1.9737124,3,0.144566397,0,-2.155639229,1,-1.375931336
JG24_170109_time_04_1,rh,MOG_places_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSH28_181008_time_03_1,rh,MOG_places_toon_JC_10mm,0,-2.738794182,0,-2.155795226,1,-1.437976505,1,-0.106690932,0,0.085012713,0,-1.128157343,14,1.541860418,39,3.012000286,2,0.114322783,18,1.623034917,0,-3.261542726,1,-0.93857984,0,-0.599215636,39,3.066591442,11,1.179301449
KG22_190128_time_03_1,rh,MOG_places_toon_JC_10mm,0,-1.471817757,9,0.339262696,1,-0.89538577,11,1.250474728,0,-0.329800925,0,-1.753454618,31,2.247764442,29,2.16853297,0,-2.253298804,2,-0.175022207,3,-0.624358855,10,0.414181854,0,-1.290227431,35,2.992896389,2,-1.698861147
VN26,rh,MOG_places_toon_JC_10mm,0,-3.118452366,2,-2.58996377,0,-1.992454453,4,0.27318443,0,-0.111264783,0,-1.390872072,48,3.642880513,43,3.565381443,1,-0.267995517,2,0.489316196,0,-3.854956134,1,-0.996268043,0,-0.912598561,58,4.902804347,4,0.136573228
DRS22,rh,MOG_places_toon_JC_10mm,1,-3.485103979,2,-1.873947424,0,-1.425562498,6,0.268388668,0,-0.956147909,0,-0.570884997,61,5.195323045,39,2.425417545,0,-0.809298418,0,-0.050764429,1,-3.53759452,5,-0.657389516,0,-1.083113768,61,5.205546415,0,-0.609324442
MBA24_190130_time_03_1,rh,MOG_places_toon_JC_10mm,0,-1.108841081,0,-1.848519111,0,-1.282047522,0,0.162976437,0,-0.049316557,0,-0.638468075,28,2.678604184,17,2.136329239,0,-0.529590288,1,-0.24427304,0,-2.055557129,0,-0.641088437,0,-0.414814214,38,3.268787087,1,-0.536846661
df032518,rh,MOG_places_toon_JC_10mm,1,-2.25987177,0,-1.621963384,3,-0.743422664,10,0.463862797,0,0.030185242,0,-1.551559889,59,3.820978079,52,3.397856281,0,-1.305748732,0,-1.33030926,1,-2.601104588,12,-0.096688891,0,-0.897951268,70,4.912847436,0,-1.81766886
ENK05_181201_time_03_1,lh,MOG_places_toon_JC_10mm,0,-4.023087141,0,-4.263084289,0,-1.499565835,18,1.661406023,0,-1.227251384,12,1.222877611,76,5.021188399,53,3.497988015,0,-0.647004883,0,-0.755655662,0,-5.616946065,10,0.365428774,0,-0.232363897,77,5.790637834,0,-0.965503751
CLC06_190912_time_04_1,lh,MOG_places_toon_JC_10mm,0,-2.380800279,0,-0.206959743,0,-1.146002817,1,0.655262489,1,0.716953199,0,-1.877192018,3,0.742810636,19,2.119244118,0,-0.737133979,4,0.94136507,0,-1.579315955,1,-0.186645772,0,-0.549943491,19,1.921626759,2,0.120510078
ED07_190824_time_04_2,lh,MOG_places_toon_JC_10mm,0,-4.092593154,0,-2.622319475,0,-1.823803157,5,0.354143072,1,-0.23097131,0,-0.674803462,23,2.707973456,34,2.774911094,10,0.92921786,11,1.159452881,0,-4.422398054,1,-0.819255646,0,-0.577373214,40,3.713635199,17,1.436884053
ENK05_190203_time_03_2,lh,MOG_places_toon_JC_10mm,0,-4.787223708,4,-1.990116752,1,-1.980694968,16,0.925145348,0,-0.569219268,0,-1.297007564,6,0.951291186,50,3.518944521,19,1.452479312,28,1.996202262,0,-4.361411114,13,-0.479843697,0,-1.207075104,38,2.996125422,31,2.370517991
RJ09_181110_time_03_2,lh,MOG_places_toon_JC_10mm,0,-4.787310305,0,-5.016310114,0,-1.379790845,18,2.030537912,0,-0.491410629,0,-0.41804437,25,2.745975048,44,3.506670018,3,0.757160743,10,1.552275304,0,-6.641306697,4,0.716779936,0,-0.628306833,50,4.226391853,11,1.58223296
INW06_191006_time_04_1,lh,MOG_places_toon_JC_10mm,0,-4.750807823,0,-3.804962226,0,-1.905073374,0,-0.03170852,0,0.085478802,0,-0.886141606,46,3.181525208,39,2.882765133,17,1.535530065,23,1.923194509,0,-5.706889752,0,-1.160319269,0,-0.456139015,60,4.112121389,31,2.379324101
RJ09_190810_time_04_1,lh,MOG_places_toon_JC_10mm,0,-2.384860849,0,-2.720709852,0,-1.542006922,2,0.826734707,0,0.165369121,0,-0.987688701,33,2.722335486,17,1.738489916,4,0.543994658,6,0.468651358,0,-3.475527979,0,-0.292814183,0,-0.453951537,39,3.034447707,10,0.698898438
AOK07_190203_time_03_2,lh,MOG_places_toon_JC_10mm,0,-2.821678657,0,-2.474891521,0,-1.099176409,2,0.560650237,5,0.863149025,1,-1.605302708,55,4.060849233,28,2.618631678,0,-1.164109629,2,-0.24175417,0,-3.551494134,0,-0.230460541,2,-0.276029432,59,4.543284188,2,-0.98015671
CS11_181215_time_03_2,lh,MOG_places_toon_JC_10mm,0,-4.30707727,0,-3.443820776,0,-2.772874314,2,-0.427370523,11,1.451796548,0,-1.828317785,46,3.640876834,53,3.830794381,9,0.558998016,15,1.211160271,0,-5.169525309,0,-1.977945778,1,0.049796303,62,5.059426328,20,1.21224921
GEJA09_190921_time_04_1,lh,MOG_places_toon_JC_10mm,0,-1.544627279,0,-1.520269158,0,-1.539521793,5,0.96484168,0,-0.268701345,0,-0.725352051,3,0.637118451,1,0.559628533,19,1.591469791,7,0.956794396,0,-2.068804996,0,-0.186605774,0,-0.636494718,5,0.811732778,24,1.764109287
MDT09_191027_time_03_2,lh,MOG_places_toon_JC_10mm,0,-4.543403237,0,-1.700204113,1,-4.569595033,22,2.11974727,0,-0.611794971,0,-1.83356886,19,2.044763065,64,4.766484767,9,1.298284896,0,0.597481385,0,-3.9972277,1,-1.118121108,0,-1.55655866,60,4.580146688,13,1.315158684
DAPA10_181201_time_03_2,lh,MOG_places_toon_JC_10mm,0,-4.418409696,0,-4.264404768,0,-2.643546909,2,0.688970057,0,-1.137011058,1,-1.881260198,58,4.904976069,41,3.388347588,25,1.665852567,31,1.579595537,0,-5.854290643,0,-1.054290683,0,-1.992735987,65,5.637547156,33,2.238039109
STM10_190903_time_03_2,lh,MOG_places_toon_JC_10mm,0,-2.881382088,0,-3.62642498,0,-3.028227076,4,0.359693315,0,-1.092186278,0,-1.292970597,60,4.190655536,53,3.789365676,8,1.224821221,0,0.650456472,0,-4.454719723,0,-1.533421616,0,-1.611001347,67,5.411257727,13,1.29951025
DAPA10_190921_time_04_1,lh,MOG_places_toon_JC_10mm,0,-6.921532355,0,-6.286299136,0,-3.001422575,5,1.255927156,3,0.056532412,0,-1.770168811,53,4.574550747,57,4.56941422,35,2.197279601,34,2.598369964,0,-8.874056553,2,-0.837822345,1,-0.999931124,70,6.194806326,42,3.300667584
CGSA11_190910_time_04_1,lh,MOG_places_toon_JC_10mm,0,-4.776757872,0,-2.793248854,0,-3.270956899,17,2.116324673,0,-0.467655518,0,-0.813312496,39,4.200737236,32,3.100026276,4,0.617388804,3,0.052182871,0,-4.96020972,2,-0.346147989,0,-0.842936925,46,4.959885097,9,0.468339773
