param,ROI,hemi,ROIs_set,stream,nVox_boot,nBoot,KS_original,KS_effect_mean,KS_effect_CI_low,KS_effect_CI_high,KS_boot_std,p_value_KS_bootstrap,p_value_KS_CI_low,p_value_KS_CI_high,p_thresh_stream,sig_stream_corrected
size,rh.ITG_limbs_toon_JC.mat,rh,toon_JC,lateraldorsal,251,10000,0.126765936487939,0.151249800796814,0.0876494023904382,0.219123505976096,0.0338075412030771,0.533196680331967,0.523413380474039,0.54296740444198,0.0042,0
size,rh.LOS_limbs_toon_JC.mat,rh,toon_JC,lateraldorsal,469,10000,0.0682057344739446,0.0906850746268656,0.0426439232409382,0.14498933901919,0.0265844903858523,0.805269473052695,0.797451430723308,0.812971873493933,0.0042,0
size,rh.MOG_places_toon_JC.mat,rh,toon_JC,lateraldorsal,571,10000,0.100854455604192,0.112011908931699,0.0612959719789843,0.166374781085814,0.0269102360720765,0.367313268673133,0.357891115549096,0.376785686806932,0.0042,0
size,rh.MTG_limbs_adultAvg_probMap_toonCat.mat,rh,adultAvg_probMap_toonCat,lateraldorsal,258,10000,0.1001216992805,0.132421317829457,0.0852713178294573,0.189922480620155,0.0271719216988603,0.786671332866713,0.778588997907025,0.794645070941053,0.0042,0
size,rh.OTS_bodies_toon.mat,rh,toon,ventral,91,10000,0.165480088989477,0.198705494505495,0.0879120879120879,0.32967032967033,0.0617175547799523,0.829467053294671,0.822034308868187,0.836774989950584,0.0038,0
size,rh.mFus_faces_toon.mat,rh,toon,ventral,156,10000,0.310330800521913,0.338224358974358,0.243589743589744,0.42948717948718,0.0476605728249373,0.00084991500849915,0.000378279654099148,0.00150897721328728,0.0038,1
size,rh.mOTS_words_toon.mat,rh,toon,ventral,50,10000,0.108206319702602,0.194052000000001,0.1,0.32,0.056418964949391,0.987351264873513,0.98507040956105,0.989447600370665,0.0038,0
size,rh.pFus_faces_toon.mat,rh,toon,ventral,224,10000,0.0889391478276555,0.130022321428571,0.0669642857142857,0.205357142857143,0.0361601454412872,0.847265273472653,0.840149972563583,0.854249024962763,0.0038,0
size,rh.pOTS_words_toon.mat,rh,toon,ventral,101,10000,0.209652642387154,0.237052475247524,0.118811881188119,0.356435643564356,0.0606096838732766,0.547095290470953,0.537331302077539,0.556841437971298,0.0038,0
size,rh.pSTS_faces_adultAvg_probMap_toonCat.mat,rh,adultAvg_probMap_toonCat,lateraldorsal,50,10000,0.399787151702786,0.443296000000003,0.3,0.6,0.0768284234164969,0.111838816118388,0.105736231694344,0.118088439485149,0.0042,0
