sub,group,age,hemi,ROI,ROItype,category,stream,meanT,catSelectivity
JP23_170111_time_02_1,adults,23,lh,mOTS_words,category,words,ventral,-0.011120511,Words
JP23_170111_time_02_1,adults,23,lh,MTG_limbs,category,bodies,lateral,0.22654769,Bodies
JP23_170111_time_02_1,adults,23,lh,OTS_bodies,category,bodies,ventral,-0.004093359,Bodies
JP23_170111_time_02_1,adults,23,lh,pFus_faces,category,face,ventral,-0.084450559,Faces
JP23_170111_time_02_1,adults,23,lh,pOTS_words,category,words,ventral,0.073746624,Words
JP23_170111_time_02_1,adults,23,lh,pSTS_faces,category,face,lateral,-0.5771115,Faces
jw103018,adults,28,lh,CoS_places,category,place,ventral,0.357813311,Places
jw103018,adults,28,lh,IOG_faces,category,face,ventral,-2.725451337,Faces
jw103018,adults,28,lh,IPS_places,category,place,dorsal,-0.122577114,Places
jw103018,adults,28,lh,LOS_limbs,category,bodies,lateral,-1.126881598,Bodies
jw103018,adults,28,lh,mFus_faces,category,face,ventral,-0.350229905,Faces
jw103018,adults,28,lh,MOG_places,category,place,dorsal,1.056082416,Places
jw103018,adults,28,lh,MTG_limbs,category,bodies,lateral,-0.9970024,Bodies
jw103018,adults,28,lh,OTS_bodies,category,bodies,ventral,0.465409036,Bodies
jw103018,adults,28,lh,pFus_faces,category,face,ventral,-1.38817938,Faces
jw103018,adults,28,lh,pSTS_faces,category,face,lateral,-0.2318311,Faces
KG22_190128_time_03_1,adults,26,lh,CoS_places,category,place,ventral,3.086764804,Places
KG22_190128_time_03_1,adults,26,lh,IPS_places,category,place,dorsal,4.339605607,Places
KG22_190128_time_03_1,adults,26,lh,mFus_faces,category,face,ventral,2.68786152,Faces
KG22_190128_time_03_1,adults,26,lh,MOG_places,category,place,dorsal,2.729450882,Places
KG22_190128_time_03_1,adults,26,lh,MTG_limbs,category,bodies,lateral,1.15356511,Bodies
KG22_190128_time_03_1,adults,26,lh,OTS_bodies,category,bodies,ventral,1.104949317,Bodies
KG22_190128_time_03_1,adults,26,lh,pFus_faces,category,face,ventral,2.459855323,Faces
KG22_190128_time_03_1,adults,26,lh,pOTS_words,category,words,ventral,1.89438991,Words
KM25_181204_time_03_1,adults,25,lh,CoS_places,category,place,ventral,2.204166381,Places
KM25_181204_time_03_1,adults,25,lh,IPS_places,category,place,dorsal,1.734008305,Places
KM25_181204_time_03_1,adults,25,lh,ITG_limbs,category,bodies,lateral,3.317638981,Bodies
KM25_181204_time_03_1,adults,25,lh,LOS_limbs,category,bodies,lateral,6.067672625,Bodies
KM25_181204_time_03_1,adults,25,lh,MTG_limbs,category,bodies,lateral,4.11157663,Bodies
KM25_181204_time_03_1,adults,25,lh,OTS_bodies,category,bodies,ventral,0.955048884,Bodies
KM25_181204_time_03_1,adults,25,lh,pFus_faces,category,face,ventral,0.471751389,Faces
KM25_181204_time_03_1,adults,25,lh,pOTS_words,category,words,ventral,2.174015523,Words
KM25_181204_time_03_1,adults,25,lh,pSTS_faces,category,face,lateral,0.31738081,Faces
MBA24_190130_time_03_1,adults,28,lh,CoS_places,category,place,ventral,1.998831974,Places
MBA24_190130_time_03_1,adults,28,lh,IPS_places,category,place,dorsal,1.690114278,Places
MBA24_190130_time_03_1,adults,28,lh,ITG_limbs,category,bodies,lateral,2.080345067,Bodies
MBA24_190130_time_03_1,adults,28,lh,LOS_limbs,category,bodies,lateral,2.296138695,Bodies
MBA24_190130_time_03_1,adults,28,lh,mFus_faces,category,face,ventral,1.725837851,Faces
MBA24_190130_time_03_1,adults,28,lh,MOG_places,category,place,dorsal,2.706141804,Places
MBA24_190130_time_03_1,adults,28,lh,mOTS_words,category,words,ventral,1.27873654,Words
MBA24_190130_time_03_1,adults,28,lh,MTG_limbs,category,bodies,lateral,2.10201492,Bodies
MBA24_190130_time_03_1,adults,28,lh,pFus_faces,category,face,ventral,2.434845514,Faces
MBA24_190130_time_03_1,adults,28,lh,pOTS_words,category,words,ventral,2.599036741,Words
MBA24_190130_time_03_1,adults,28,lh,pSTS_faces,category,face,lateral,1.32421054,Faces
MDT09_191027_time_03_2,kids,14,lh,CoS_places,category,place,ventral,3.307366441,Places
MDT09_191027_time_03_2,kids,14,lh,IPS_places,category,place,dorsal,1.818610832,Places
MDT09_191027_time_03_2,kids,14,lh,ITG_limbs,category,bodies,lateral,5.369886409,Bodies
MDT09_191027_time_03_2,kids,14,lh,LOS_limbs,category,bodies,lateral,2.741351334,Bodies
MDT09_191027_time_03_2,kids,14,lh,mFus_faces,category,face,ventral,2.062413312,Faces
